l1_lambda,l2_loss,l1_loss,total_loss
9.999999974752427e-07,2.0191861516138943e-09,0.34709715843200684,3.491163624858018e-07
9.999999974752427e-07,2.8021548623136106e-11,0.811506986618042,8.115350169646263e-07
9.999999974752427e-07,0.03959721699357033,1.3524560928344727,0.03959856927394867
0.011112000793218613,1.0638199228196754e-06,0.3402128219604492,0.0037815088871866465
0.011112000793218613,8.798872386250878e-08,0.31279632449150085,0.0034758809488266706
0.011112000793218613,5.055732685832481e-07,0.32554563879966736,0.003617968875914812
0.02222300134599209,1.7463625567870622e-07,0.44797658920288086,0.009955559857189655
0.02222300134599209,2.501323876913375e-07,0.4146844744682312,0.009215784259140491
0.02222300134599209,3.365765621765604e-07,0.3041272461414337,0.006758956704288721
0.033334001898765564,4.0531469380766794e-07,0.4011375308036804,0.013371923938393593
0.033334001898765564,5.077818059362471e-06,0.3385513126850128,0.011290348134934902
0.033334001898765564,4.622823325917125e-06,0.3385757505893707,0.011290707625448704
0.04444500058889389,4.910200459562475e-07,0.4012167155742645,0.017832569777965546
0.04444500058889389,9.403046533407178e-06,0.33853888511657715,0.01505576353520155
0.04444500058889389,1.0744217888714047e-06,0.30330491065979004,0.013481461443006992
0.05555599927902222,4.602517037710641e-06,0.28471845388412476,0.01582241989672184
0.05555599927902222,4.701881661794971e-10,0.28857991099357605,0.016032345592975616
0.05555599927902222,1.5244236095668384e-08,0.2833186089992523,0.015740063041448593
0.06666699796915054,3.0374374091479694e-06,0.30251505970954895,0.02017080970108509
0.06666699796915054,1.94054479152328e-08,0.2828649580478668,0.01885777711868286
0.06666699796915054,2.0575496861852116e-08,0.4496857523918152,0.029979219660162926
0.07777799665927887,2.409574790362967e-06,0.359662801027298,0.02797626331448555
0.07777799665927887,8.582622399444517e-07,0.42105957865715027,0.03275002911686897
0.07777799665927887,2.537685759307351e-05,0.3361518383026123,0.02617059275507927
0.08888900279998779,1.1596576996453223e-06,0.6480458378791809,0.057605307549238205
0.08888900279998779,2.6816412628249964e-06,0.282482773065567,0.025112293660640717
0.08888900279998779,1.4004842796566663e-06,0.38816502690315247,0.034505002200603485
0.10000000149011612,2.1863302208657842e-06,0.2712707221508026,0.02712925896048546
0.10000000149011612,9.589799446985126e-06,0.281474232673645,0.028157012537121773
0.10000000149011612,5.240111136117775e-07,0.41423550248146057,0.04142407700419426
